"R1.12", "Projet professionnel et personnel", "L’objectif de cette ressource est d’identifier le savoir-être et le savoir-faire. Cette ressource permet de se familiariser avec les éléments constitutifs du B.U.T. informatique (AC) de mieux cerner sa connaissance de soi et d’apprendre à définir ses compétences au travers de ses expériences.","A1"
"R2.01", "Développement orienté objets", "L’objectif de cette ressource est d’initier au développement orienté objets. La réalisation d’un développement d’application et l’optimisation des applications informatiques passent par la compréhension des paradigmes objets.","A1"
"R2.02", "Développement d’applications avec IHM", "L’objectif de cette ressource est d’initier au développement d’une application avec une IHM. La réalisation d’un développement d’application passe par la capacité à produire des applications avec des interfaces utilisateurs.","A1"
"R2.03", "Qualité de développement", "L’objectif de cette ressource est d’initier à la qualité de développement. Cette ressource permet de se familiariser avec la mécanique de tests qui est fondamentale à la réalisation d’un développement d’application. Enfin l’initiation à l’utilisation d’un outil de gestion de version apporte une première mise en pratique des outils de gestion de projet.","A1"
"R2.04", "Communication et fonctionnement bas niveau", "L’objectif de cette ressource est de comprendre le fonctionnement des couches systèmes et réseaux bas niveau. Cette res- source permet de découvrir les multiples technologies et fonctions mises en œuvre dans un réseau informatique et de comprendre les rôles et structures des mécanismes bas niveau mis en oeuvre pour leur fonctionnement.","A1"
"R2.05", "Introduction aux services réseaux", "L’objectif de cette ressource est de comprendre les notions de service et d’architecture client-serveur et savoir installer un service simple dans un réseau informatique. Cette ressource permet de comprendre les principes d’une application dans un réseau informatique (client-serveur) de découvrir et de s’initier à l’installation d’applications communicantes normalisées (les services).","A1"
"R2.06", "Exploitation d’une base de données", "L’objectif de cette ressource est l’initiation aux bases de données avec une première approche de la notion d’administration de la base ainsi que de la restitution des données. Cette ressource montre l’intérêt de la base de données pour une entreprise elle permet de comprendre la sécurité avec la notion de droits et également d’exploiter des données avec des outils simples de visualisation.","A1"
"R2.07", "Graphes", "L’objectif de cette ressource est de faire découvrir les graphes et l’utilisation de ces derniers à travers des algorithmes simples et des situations courantes de programmation. Elle permet d’appréhender le concept de graphe d’un point de vue mathématique et algorithmique. Elle présente les problèmes classiques qui font intervenir cette notion et compare les méthodes de résolution usuelles.","A1"
"R2.08", "Outils numériques pour les statistiques descriptives", "L’objectif de cette ressource est de mettre en place les notions et outils mathématiques pour l’étude et l’analyse des données. Elle donne les outils nécessaires à la visualisation et à l’analyse chiffrée de données en permettant le développement d’un regard critique sur les données. Elle est un support à une meilleure compréhension et présentation des besoins du client.","A1"
"R2.09", "Méthodes numériques", "L’objectif de cette ressource est d’appréhender les notions de suites en vue d’une meilleure compréhension de la programmation et de la récursivité. Elle vient présenter différentes méthodes de résolution algorithmique pour des problèmes mathématiques courants. Elle permet au travers de la notion de suite de donner une première approche des principes de la récursivité.","A1"
"R2.10", "Introduction à la gestion des systèmes d’information", "L’objectif de cette ressource est de découvrir la gestion comptable et financière ainsi que son intégration dans la gestion de projet des organisations. Les informations comptables et financières générées par les organisations représentent un enjeu majeur de leur stratégie. La visualisation des données comptables et financières d’une organisation permet une gestion optimale au quotidien de leur activité. La découverte des bases en gestion de projet notamment des besoins clients et utilisateurs la mise en place d’outils de gestion ainsi que l’identification des acteurs et des phases du cycle de développement assurent à l’organisation une gestion efficiente et efficace des projets informatiques. L’articulation de ces deux champs de la gestion permet d’appréhender l’importance de l’estimation des coûts dans la réalisation d’un projet informatique.","A1"
"R2.11", "Introduction au droit", "L’objectif de cette ressource consiste à découvrir le monde professionnel sous l’angle juridique à travers une introduction générale au droit du numérique et des contrats. Cette ressource permet l’initiation aux bases du droit pour acquérir une première réflexion sur l’importance du droit dans le monde professionnel.","A1"
"R2.12", "Anglais", "L’objectif de cette ressource est de se familiariser avec le monde de l’entreprise et les métiers de l’informatique dans un contexte international.","A1"
"R2.13", "Communication technique", "L’objectif de cette ressource est d’approfondir les techniques et outils de la communication en milieu professionnel. Cette res- source souligne l’importance de la communication dans le cadre du développement d’une application informatique en insistant sur l’ergonomie et les interfaces. Elle montre la nécessité de créer des supports de communication adaptés au contexte professionnel ainsi que le rôle essentiel de l’argumentation pour défendre le produit ou l’application développée et convaincre le client ou l’utilisateur.","A1"
"R2.14", "Projet professionnel et personnel", "L’objectif de cette ressource est d’aborder la connaissance des métiers et des entreprises du territoire.","A1"
"R3.01", "Développement web", "L’objectif de cette ressource est de poursuivre l’apprentissage de la programmation autour de technologies web. Cette ressource met en situation de développement à partir de spécification ce qui est la suite logique de l’apprentissage du développement.","A1"
"R3.02", "Développement efficace", "L’objectif de cette ressource est de renforcer l’apprentissage de l’algorithmique afin d’amener vers une efficacité de développement.","A1"
"R3.03", "Analyse", "L’objectif de cette ressource est de conforter les capacités d’analyse de l’informaticien en étant capable de comprendre les exigences d’un client et de les formaliser.","A1"
"R3.04", "Qualité de développement", "L’objectif de cette ressource est d’approfondir la qualité de développement.","A1"
"R3.05", "Programmation système", "L’objectif de cette ressource est de comprendre la structure d’une application client-serveur et de comprendre les mécanismes bas niveaux mis en œuvre dans une application multitâches. Cette ressource permettra de découvrir le développement d’applications multi-processus de comprendre et de traiter les problèmes de synchronisation et d’utiliser des outils de communication internes aux processus mais aussi externes via les API de transport.","A1"
"R3.06", "Architecture des réseaux", "L’objectif de cette ressource est de comprendre l’organisation et le fonctionnement d’un réseau informatique. Cette ressource permettra de découvrir les différentes technologies matérielles et logicielles mises en œuvre dans l’acheminement de données à l’intérieur d’un réseau (local ou étendu)  de voir par quels types d’applications accéder au réseau.","A1"
"R3.07", "SQL dans un langage de programmation", "L’objectif de cette ressource consiste à étudier les différents aspects de l’intégration du langage SQL dans les langages de programmation. Cette ressource permet de comprendre tous les usages standards de la base de données hors aspect interactif en mode applicatif comme les applications web ou les applications mobiles ainsi que batch et procédure stockées.","A1"
"R3.08", "Probabilités", "L’objectif de cette ressource est d’appréhender le calcul des probabilités.","A1"
"R3.09", "Cryptographie et sécurité", "L’objectif de cette ressource est d’introduire les diverses techniques employées en cryptographie.","A1"
"R3.10", "Management des systèmes d’information", "L’objectif de cette ressource est d’approfondir la gestion de projet en abordant une démarche agile les évolutions du management des organisations et l’aspect éthique du numérique.","A1"
"R3.11", "Droit des contrats et du numérique", "L’objectif de cette ressource est d’approfondir le monde professionnel sous l’angle juridique.","A1"
"R3.12", "Anglais", "L’objectif de cette ressource est de se préparer à la vie professionnelle.","A1"
"R3.13", "Communication professionnelle", "L’objectif de cette ressource est de comprendre les attendus du monde professionnel pour s’y insérer pour y dialoguer au mieux avec ses acteurs et de produire un discours de spécialiste efficace à la portée des usagers. Cette ressource permet d’acquérir des compétences larges et approfondies en techniques de recherche d’emploi d’optimiser sa communication interpersonnelle et de l’adapter ensuite à un contexte d’entreprise.","A1"
"R3.14", "Projet personnel et professionnel", "L’objectif de cette ressource est d’accompagner le choix du parcours et la construction du projet professionnel en aidant à réfléchir aux options possibles à l’issue du B.U.T (insertion professionnelle poursuite d’études en formation initiale ou en alternance réorientation...). Grâce à cette ressource les connaissances interpersonnelles facilitant le recrutement et l’intégration dans une équipe informatique sont mises en œuvre.","A1"
"R4.01", "Architecture logicielle", "L’objectif de cette ressource est de présenter des composants de la programmation qui peuvent être utilisés dans plusieurs domaines.","A1"
"R4.02", "Qualité de développement", "L’objectif de cette ressource est d’approfondir la production de tests mais également d’identifier les critères de faisabilité d’un projet informatique.","A1"
"R4.03", "Qualité et au-delà du relationnel", "L’objectif de cette ressource est d’étudier les avantages et les limites de la normalisation dans le modèle relationnel comme dans les nouveaux paradigmes : comprendre un schéma relationnel bien construit et prendre du recul sur la conception d’un schéma et être capable de faire un choix sur les différents outils.","A1"
"R4.04", "Méthodes d’optimisation", "L’objectif de cette ressource est d’étudier des méthodes permettant d’optimiser une solution à un problème.","A1"
"R4.05", "Anglais", "L’objectif de cette ressource est de savoir rendre compte à l’écrit et à l’oral d’un travail en relation avec l’entreprise et de réfléchir aux enjeux éthiques de la profession.","A1"
"R4.06", "Communication interne", "L’objectif de cette ressource est de transmettre l’information auprès de publics aussi bien professionnels qu’académiques à l’écrit comme à l’oral et de la rendre accessible par des supports variés qui l’éclairent et la synthétisent. Cette ressource fait monter en compétence par la conjonction de l’expression écrite et orale appliquée à des domaines entrepreneuriaux et institutionnels en variant les approches de communication par des exercices plus complexes et où est affirmée de plus en plus son autonomie.","A1"
"R4.07", "Projet personnel et professionnel", "L’objectif de cette ressource est de préparer au stage de deuxième année en permettant d’adopter une démarche réflexive et collaborative pour déterminer les fondamentaux en termes de savoir-être attendus en stage. Elle doit aussi permettre de communiquer efficacement pour rendre compte de son activité professionnelle à ses encadrants tout au long du stage.","A1"
"R4.08", "Virtualisation", "L’objectif de cette ressource est de comprendre les principes et enjeux de la virtualisation en informatique et d’être capable de déployer une solution de virtualisation. Cette ressource permettra de découvrir les techniques et outils utilisées pour la virtualisation de systèmes amenant au déploiement de plateformes facilitant l’intégration et l’administration de services.","A1"
"R4.09", "Management avancé des systèmes d’information", "L’objectif de cette ressource consiste à approfondir les systèmes d’information quelle que soit la nature de ceux-ci.","A1"
"R4.10", "Complément web", "L’objectif de cette ressource est de compléter les techniques de développement web pour arriver à des capacités de développement full-stack.","A1"
"R4.11", "Développement pour applications mobiles", "L’objectif de cette ressource est de découvrir des techniques de développement mobile.","A1"
"R4.12", "Automates et Langages", "L’objectif de cette ressource est de voir les techniques liées aux automates utilisées en programmation.","A1"
"R5.01", "Initiation au management d’une équipe de projet informatique", "L’objectif de cette ressource consiste à apporter les bases de la gestion d’une équipe en informatique.","A1"
